complex_id,node_id
1,0
2,1
3,2
4,3
5,4
6,5
8,6
9,7
10,8
13,9
14,10
16,11
17,12
20,13
22,14
26,15
28,16
30,17
31,18
32,19
33,20
34,21
35,22
36,23
37,24
38,25
39,26
41,27
42,28
43,29
44,30
45,31
46,32
47,33
48,34
49,35
50,36
52,37
53,38
54,39
55,40
56,41
57,42
58,43
59,44
60,45
61,46
62,47
64,48
65,49
66,50
67,51
68,52
69,53
70,54
71,55
72,56
74,57
75,58
76,59
77,60
78,61
79,62
80,63
81,64
82,65
83,66
84,67
85,68
86,69
87,70
88,71
89,72
90,73
91,74
93,75
94,76
95,77
96,78
97,79
98,80
99,81
100,82
101,83
103,84
107,85
108,86
109,87
110,88
111,89
113,90
114,91
118,92
119,93
120,94
122,95
123,96
124,97
125,98
126,99
127,100
129,101
130,102
131,103
133,104
134,105
135,106
136,107
137,108
138,109
141,110
143,111
144,112
145,113
146,114
147,115
149,116
150,117
151,118
152,119
153,120
154,121
155,122
156,123
157,124
158,125
159,126
160,127
162,128
164,129
165,130
167,131
168,132
169,133
173,134
175,135
176,136
177,137
179,138
180,139
181,140
182,141
183,142
185,143
186,144
187,145
188,146
189,147
190,148
191,149
192,150
193,151
194,152
195,153
196,154
197,155
198,156
199,157
200,158
201,159
203,160
204,161
205,162
206,163
207,164
208,165
209,166
210,167
211,168
212,169
213,170
214,171
215,172
216,173
217,174
218,175
220,176
221,177
222,178
223,179
224,180
225,181
228,182
231,183
232,184
234,185
235,186
236,187
237,188
238,189
240,190
241,191
242,192
243,193
244,194
245,195
246,196
247,197
248,198
249,199
250,200
251,201
252,202
253,203
254,204
255,205
256,206
257,207
258,208
259,209
260,210
261,211
262,212
263,213
264,214
265,215
266,216
268,217
269,218
270,219
271,220
272,221
273,222
276,223
277,224
278,225
279,226
280,227
282,228
283,229
284,230
286,231
287,232
288,233
289,234
290,235
291,236
292,237
293,238
294,239
295,240
296,241
297,242
298,243
299,244
300,245
301,246
303,247
304,248
305,249
306,250
307,251
308,252
309,253
310,254
311,255
312,256
313,257
314,258
316,259
318,260
319,261
320,262
321,263
323,264
324,265
325,266
326,267
327,268
328,269
329,270
333,271
334,272
336,273
337,274
339,275
340,276
341,277
343,278
344,279
345,280
346,281
347,282
348,283
349,284
350,285
351,286
352,287
353,288
354,289
355,290
356,291
357,292
358,293
359,294
360,295
361,296
362,297
363,298
364,299
365,300
366,301
367,302
368,303
369,304
370,305
371,306
372,307
373,308
374,309
375,310
376,311
377,312
378,313
379,314
380,315
381,316
382,317
383,318
384,319
385,320
386,321
387,322
388,323
391,324
392,325
393,326
394,327
395,328
396,329
397,330
398,331
399,332
403,333
404,334
405,335
407,336
409,337
413,338
414,339
416,340
417,341
418,342
419,343
420,344
421,345
422,346
423,347
424,348
425,349
426,350
427,351
428,352
429,353
430,354
431,355
432,356
433,357
434,358
436,359
437,360
438,361
439,362
440,363
441,364
442,365
443,366
444,367
445,368
446,369
447,370
448,371
449,372
450,373
451,374
452,375
453,376
455,377
456,378
457,379
458,380
459,381
460,382
461,383
463,384
464,385
471,386
475,387
476,388
477,389
501,390
502,391
601,392
602,393
603,394
604,395
605,396
606,397
607,398
608,399
609,400
610,401
611,402
612,403
613,404
614,405
615,406
616,407
617,408
618,409
619,410
620,411
621,412
622,413
623,414
624,415
625,416
626,417
627,418
628,419
629,420
630,421
635,422
636,423
51,424
202,425
